Rank,Song,Artist(s),Album,Streams(Millions),Date published,Popularity
72,Psycho (feat. Ty Dolla $ign),"['Post Malone', 'Ty Dolla Sign']",Beerbongs & Bentleys,1120,2018-02-23,81.0
73,See You Again (feat. Charlie Puth),"['Wiz Khalifa', 'Charlie Puth']",Furious 7: Original Motion Picture Soundtrack,1116,2015-03-10,82.0
74,Heathens,['Twenty One Pilots'],Suicide Squad: The Album,1111,2016-06-16,81.0
75,One Kiss (with Dua Lipa),"['Calvin Harris', 'Dua Lipa']",Dua Lipa,1111,2018-04-06,82.0
76,Moonlight,['XXXTentacion'],?,1107,2018-03-16,85.0
77,Cheerleader - Felix Jaehn Remix Radio Edit,"['Omi', 'Felix Jaehn']",Me 4 U,1103,2014-05-19,65.0
78,Radioactive,['Imagine Dragons'],Night Visions,1101,2012-09-04,72.0
79,Riptide,['Vance Joy'],Dream Your Life Away,1100,2013-05-21,78.0
80,I Like Me Better,['Lauv'],I Met You When I Was 18 (The Playlist),1097,2017-05-19,84.0
81,Attention,['Charlie Puth'],Voicenotes,1096,2017-04-21,81.0
82,Eastside (with Halsey & Khalid),"['Benny Blanco', 'Halsey, Khalid']",Friends Keep Secrets,1095,2018-07-12,80.0
83,The Hills,['The Weeknd'],Beauty Behind The Madness,1094,2015-05-27,83.0
84,Old Town Road - Remix,"['Lil Nas X', 'Billy Ray Cyrus']",7,1090,2019-04-05,83.0
85,This Is What You Came For (feat. Rihanna),"['Calvin Harris', 'Rihanna']",Non-album single,1085,2016-04-29,79.0
86,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","['""DJ Snake""', '""Selena Gomez, Ozuna"", ""Cardi B""']",Carte Blanche,1082,2018-09-28,79.0
87,In My Feelings,['Drake'],Scorpion,1081,2018-06-29,79.0
88,Can't Feel My Face,['The Weeknd'],Beauty Behind the Madness,1080,2015-06-08,79.0
89,Hello,['Adele'],25,1076,2015-10-23,73.0
90,Demons,['Imagine Dragons'],Night Visions,1076,2012-09-04,74.0
91,Sugar,['Maroon 5'],V,1075,2014-08-29,80.0
92,Youngblood,['5 Seconds Of Summer'],Youngblood,1069,2018-04-12,82.0
93,We Don't Talk Anymore (feat. Selena Gomez),"['Charlie Puth', 'Selena Gomez']",Nine Track Mind,1069,2016-01-29,69.0
94,Work from Home (feat. Ty Dolla $ign),"['Fifth Harmony', 'Ty Dolla Sign']",7/27,1067,2016-02-26,78.0
95,The Box,['Roddy Ricch'],Please Excuse Me for Being Antisocial,1066,2019-12-06,89.0
96,IDGAF,['Dua Lipa'],Dua Lipa,1065,2017-06-02,80.0
97,Chandelier,['Sia'],1000 Forms of Fear,1064,2014-03-17,70.0
98,Roses - Imanbek Remix,"['Saint Jhn', 'Imanbek']",While the World Was Burning,1057,2019-09-18,80.0
99,I Don’t Wanna Live Forever (Fifty Shades Darker),"['Zayn Malik', 'Taylor Swift']",Fifty Shades Darker: Original Motion Picture Soundtrack,1052,2016-12-09,78.0
100,Ride,['Twenty One Pilots'],Blurryface,1045,2015-05-17,81.0
